reason,total,first_date,last_date
*ST博元风险警示期交易信息,29,2015-04-01,2015-05-14
ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到15%的证券,44,2014-08-26,2016-07-08
ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到15%的证券,43,2014-07-03,2016-07-12
ST和*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到15%的证券,433,2006-10-16,2013-08-22
ST和*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到15%的证券,232,2006-08-28,2013-11-20
ST股票、*ST股票和S股连续三个交易日触及涨幅限制的,1049,2007-09-18,2013-11-28
ST股票、*ST股票和S股连续三个交易日触及跌幅限制的,1645,2007-09-18,2013-12-26
S、ST、*ST连续三个交易日盘中价格触及涨跌幅限制,61,2007-09-05,2007-09-17
单只标的证券的当日融券卖出数量达到当日该证券总交易量的50%以上,1,2013-06-19,2013-06-19
单只标的证券的当日融资买入数量达到当日该证券总交易量的50％以上,339,2012-05-30,2016-08-31
异常期间价格涨幅偏离值累计达到16.68%,1,2016-01-12,2016-01-12
异常期间价格涨幅偏离值累计达到20.05%,2,2016-04-22,2016-04-22
异常期间价格涨幅偏离值累计达到20.20%,1,2016-04-22,2016-04-22
异常期间价格涨幅偏离值累计达到20.27%,4,2016-08-25,2016-08-25
异常期间价格涨幅偏离值累计达到20.48%,1,2016-04-22,2016-04-22
异常期间价格跌幅偏离值累计达到-15.30%,1,2016-06-22,2016-06-22
异常期间价格跌幅偏离值累计达到-16.10%,2,2016-06-22,2016-06-22
异常期间价格跌幅偏离值累计达到-24.61%,1,2016-04-22,2016-04-22
当日无价格涨跌幅限制的A股，出现异常波动停牌的,20,2012-04-23,2014-07-02
当日无价格涨跌幅限制的股票，其盘中交易价格较当日开盘价上涨30％以上,7,2008-07-01,2012-02-23
当日无价格涨跌幅限制的股票，其盘中交易价格较当日开盘价下跌30％以上,1,2008-08-28,2008-08-28
当日有涨跌幅限制的A股，连续2个交易日触及涨幅限制，在这2个交易日中同一营业部净买入,40,2007-10-23,2012-08-22
当日有涨跌幅限制的A股，连续2个交易日触及涨幅限制，在这2个交易日中同一营业部净买入股数占当日总成交股数的比重30％以上，且上市公司未有重大事项公告的,7,2009-12-03,2010-11-26
当日有涨跌幅限制的A股，连续2个交易日触及跌幅限制，在这2个交易日中同一营业部净卖出,37,2007-10-24,2013-11-11
当日盘中价格上涨100%以上的股票,3,2008-04-25,2008-11-20
当日盘中价格下跌50%以上的股票,1,2008-08-28,2008-08-28
无价格涨跌幅限制的证券,2376,2006-07-03,2016-09-02
日价格振幅达到15.44%,1,2016-04-22,2016-04-22
日价格振幅达到16.98%,1,2016-04-22,2016-04-22
日价格振幅达到17.18%,1,2016-04-22,2016-04-22
日价格涨幅偏离值达到10.53%,5,2016-08-25,2016-08-25
日价格涨幅偏离值达到8.67%,5,2016-04-22,2016-04-22
日价格涨幅偏离值达到8.78%,5,2016-04-22,2016-04-22
日价格涨幅偏离值达到8.97%,5,2016-04-22,2016-04-22
日价格跌幅偏离值达到-10.21%,1,2016-04-22,2016-04-22
日价格跌幅偏离值达到-10.37%,1,2016-04-22,2016-04-22
日价格跌幅偏离值达到-11.03%,1,2016-04-22,2016-04-22
日价格跌幅偏离值达到-11.22%,3,2016-04-22,2016-04-22
日价格跌幅偏离值达到-11.33%,3,2016-04-22,2016-04-22
日价格跌幅偏离值达到-7.22%,1,2016-04-22,2016-04-22
日价格跌幅偏离值达到-7.81%,1,2016-04-22,2016-04-22
日价格跌幅偏离值达到-7.85%,1,2016-04-22,2016-04-22
日价格跌幅偏离值达到-8.59%,1,2016-08-25,2016-08-25
日价格跌幅偏离值达到-9.13%,2,2016-04-22,2016-04-22
日价格跌幅偏离值达到-9.42%,1,2016-04-22,2016-04-22
日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,362,2007-05-30,2016-09-02
日振幅值达到15%的前三只证券,1336,2006-08-08,2011-02-24
日振幅值达到15%的前五只证券,3285,2011-02-28,2016-09-01
日换手率达到20%的前三只证券,4247,2006-08-07,2011-02-25
日换手率达到20%的前五只证券,12237,2011-02-28,2016-09-02
日换手率达到21.03%,1,2016-04-22,2016-04-22
日换手率达到23.68%,1,2016-04-22,2016-04-22
日换手率达到24.51%,1,2016-08-25,2016-08-25
日换手率达到25.47%,1,2016-08-25,2016-08-25
日换手率达到25.69%,1,2016-04-22,2016-04-22
日换手率达到26.10%,1,2016-08-25,2016-08-25
日换手率达到28.44%,1,2016-08-25,2016-08-25
日换手率达到29.50%,1,2016-04-22,2016-04-22
日换手率达到30.04%,1,2016-04-22,2016-04-22
日换手率达到30.14%,1,2016-04-22,2016-04-22
日换手率达到30.69%,1,2016-04-22,2016-04-22
日换手率达到31.20%,1,2016-04-22,2016-04-22
日换手率达到31.25%,1,2016-04-22,2016-04-22
日换手率达到33.87%,1,2016-08-25,2016-08-25
日换手率达到34.72%,1,2016-04-22,2016-04-22
日换手率达到34.90%,1,2016-04-22,2016-04-22
日换手率达到49.14%,1,2016-04-22,2016-04-22
日涨幅偏离值达到7%的前三只证券,5944,2006-08-07,2011-02-25
日涨幅偏离值达到7%的前五只证券,16228,2011-02-28,2016-09-02
日跌幅偏离值达到7%的前三只证券,1987,2006-08-07,2011-02-25
日跌幅偏离值达到7%的前五只证券,5651,2011-02-28,2016-09-02
有价格涨跌幅限制的日价格振幅达到15%的前三只证券,2425,2004-06-25,2016-09-02
有价格涨跌幅限制的日换手率达到20%的前三只证券,3608,2004-06-25,2016-09-02
有价格涨跌幅限制的日换手率达到20％的前三只证券,1459,2006-08-07,2009-11-20
有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,7392,2004-06-25,2016-09-02
有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,3509,2004-06-28,2016-09-02
涉嫌违法违规交易实施特别停牌的证券,1,2010-07-06,2010-07-06
涨幅偏离值异常,1,2011-05-10,2011-05-10
"连续三个交易日内,涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券",1,2016-01-28,2016-01-28
"连续三个交易日内,跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券",2,2016-02-17,2016-06-27
"连续三个交易日内的日均换手率与前五个交易日日均换手率的比值到达30倍,并且该股票封闭式",23,2007-01-26,2015-12-24
连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,16,2006-06-27,2009-11-09
连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券,55,2011-06-02,2016-08-29
连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,224,2011-03-02,2016-08-19
连续三个交易日内，涨幅偏离值累计达到15%的ST证券、*ST证券,5,2008-12-24,2009-10-27
连续三个交易日内，涨幅偏离值累计达到15%的ST证券、*ST证券和未完成股改证券,231,2007-01-25,2011-02-22
连续三个交易日内，涨幅偏离值累计达到20%的证券,7249,2006-08-07,2016-09-02
连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券,44,2011-05-06,2016-08-15
连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,158,2011-04-21,2016-06-22
连续三个交易日内，跌幅偏离值累计达到15%的ST和*ST证券,38,2006-07-13,2015-10-29
连续三个交易日内，跌幅偏离值累计达到15%的ST证券、*ST证券,2,2009-04-30,2010-01-12
连续三个交易日内，跌幅偏离值累计达到15%的ST证券、*ST证券和未完成股改证券,108,2007-01-09,2011-02-10
连续三个交易日内，跌幅偏离值累计达到15%的ST证券和*ST证券,23,2006-08-09,2015-10-23
连续三个交易日内，跌幅偏离值累计达到20%的证券,1014,2006-12-13,2016-08-24
连续三个交易日收盘价达到涨幅限制价格的ST证券、*ST证券,12,2008-11-14,2009-12-28
连续三个交易日收盘价达到涨幅限制价格的ST证券、*ST证券和未完成股改证券,405,2007-04-23,2011-02-22
连续三个交易日收盘价达到跌幅限制价格的ST证券、*ST证券,8,2008-09-04,2010-05-19
连续三个交易日收盘价达到跌幅限制价格的ST证券、*ST证券和未完成股改证券,412,2007-04-30,2011-02-22
退市整理期,1,2015-05-29,2015-05-29
退市整理的证券,90,2014-04-21,2016-05-11
非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2545,2014-02-13,2016-09-02
非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,962,2014-03-03,2016-07-29
非ST和*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2514,2005-06-16,2015-07-01
非ST和*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,764,2004-06-30,2014-12-01
风险警示股票盘中换手率达到或超过30%,4,2014-11-25,2015-04-14
